value,variants
Asansol,Asansol |
Mahnar Bazar,Mahnar |Mahnar Bazar |
Gangarampur,Gangarampur |
Narsipatnam,Narsipatnam |
Mahemdabad,Mahemdabad |
Rajam,Rajam |
Tharamangalam,Tharamangalam |
Bhadrak,Bhadrak |
Khowai,Khowai |
Raigarh,Raigarh |
Rewa,Rewa |
Sangrur,Sangrur |
Bangalore,Bengaluru |Bangalore
Patna,Patna |
Rajgarh Churu,Rajgarh |Churu |
Puri,Puri |
Nabarangapur,Nabarangapur |
Nagercoil,Nagercoil |
Vandavasi,Vandavasi |
Sivakasi,Sivakasi |
Erode,Erode |
Nagda,Nagda |
Balurghat,Balurghat |
Thiruvalla,Thiruvalla |
Arsikere,Arsikere |
Rawatbhata,Rawatbhata |
Losal,Losal |
Tuni,Tuni |
Jagdalpur,Jagdalpur |
Safidon,Safidon |
Panamattom,Panamattom |
Sagar,Sagar |
Aurangabad,Aurangabad |
Katihar,Katihar |
Rosera,Rosera |
Tarbha,Tarbha |
Loha,Loha |
Solapur,Solapur |
Machilipatnam,Machilipatnam |
Tehri,Tehri |
Manavadar,Manavadar |
Sirsaganj,Sirsaganj |
Udhagamandalam,Udhagamandalam |
Amreli,Amreli |
Sunabeda,Sunabeda |
Mokameh,Mokameh |
Saundatti Yellamma,Saundatti |Yellamma |
Rania,Rania |
Pusad,Pusad |
Thangadh,Thangadh |
Madurai,Madurai |
Aruppukkottai,Aruppukkottai |
Manihari,Manihari |
Adityapur,Adityapur |
Lathi,Lathi |
Jalandhar Cantt,Jalandhar |Jalandhar Cantt |
Nawapur,Nawapur |
Jamalpur,Jamalpur |
Bhadrachalam,Bhadrachalam |
Vadipatti,Vadipatti |
Vizianagaram,Vizianagaram |
Srirampore,Srirampore |
Jamnagar,Jamnagar |
Nainital,Nainital |
Kishanganj,Kishanganj |
Hugli Chinsurah,Hugli |Chinsurah |
Guwahati,Guwahati |
Shahpur,Shahpur |
Sultanganj,Sultanganj |
Nainpur,Nainpur |
mangalore,mangalore |
Murshidabad,Murshidabad |
Tirukalukundram,Tirukalukundram |
Sahawar,Sahawar |
Vadodara,Vadodara |
Manuguru,Manuguru |
Jaipur,Jaipur |
Talcher,Talcher |
Madhugiri,Madhugiri |
Tarakeswar,Tarakeswar |
Punganur,Punganur |
Lonavala,Lonavala |
Pathri,Pathri |
Oddanchatram,Oddanchatram |
Murtijapur,Murtijapur |
Pauni,Pauni |
Nawanshahr,Nawanshahr |
Soyagaon,Soyagaon |
Ozar,Ozar |
Sagara,Sagara |
Phalodi,Phalodi |
Tuljapur,Tuljapur |
Rajgarh Alwar,Rajgarh |Alwar |
Sonamukhi,Sonamukhi |
Nabadwip,Nabadwip |
Surapura,Surapura |
Pipariya,Pipariya |
Lachhmangarh,Lachhmangarh |
Jatani,Jatani |
Rajampet,Rajampet |
Shendurjana,Shendurjana |
Talode,Talode |
Thana Bhawan,Thana Bhawan |
Porbandar,Porbandar |
Hardoi,Hardoi |
Pindwara,Pindwara |
Virudhachalam,Virudhachalam |
Sojat,Sojat |
Nanjangud,Nanjangud |
Sadalagi,Sadalagi |
Pathardi,Pathardi |
Sasvad,Sasvad |
Bhubaneswar,Bhubaneswar |
Karaikal,Karaikal |
Rabkavi Banhatti,Rabkavi |Banhatti |
Nandurbar,Nandurbar |
Chandausi,Chandausi |
Thirupuvanam,Thirupuvanam |
Azamgarh,Azamgarh |
Tanda,Tanda |
Narwana,Narwana |
Viluppuram,Viluppuram |
Kot Kapura,Kot |Kapura |
Sitamarhi,Sitamarhi |
Amroha,Amroha |
Moradabad,Moradabad |
Shrirampur,Shrirampur |
Malappuram,Malappuram |
Thuraiyur,Thuraiyur |
Santipur,Santipur |
Pandharkaoda,Pandharkaoda |
Nowrozabad Khodargama,Nowrozabad |Khodargama |
Shikaripur,Shikaripur |
Ramngarh,Ramngarh |
Palakkad,Palakkad |
Tamluk,Tamluk |
Balaghat,Balaghat |
Udaipurwati,Udaipurwati |
Rasipuram,Rasipuram |
Arrah,Arrah |
Mukerian,Mukerian |
Muvattupuzha,Muvattupuzha |
Bharatpur,Bharatpur |
Bhagalpur,Bhagalpur |
Sirkali,Sirkali |
Sivaganga,Sivaganga |
Patan,Patan |
Todaraisingh,Todaraisingh |
Cooch Behar,Cooch |Behar |
Viswanatham,Viswanatham |
Balangir,Balangir |
Panagar,Panagar |
Vapi,Vapi |
Hawa Jaipur,Hawa |Jaipur |
Salaya,Salaya |
Ranipet,Ranipet |
Kalyan Dombivali,Kalyan |Dombivali |
Nandivaram Guduvancheri,Nandivaram |Guduvancheri |
Nehtaur,Nehtaur |
Chatra,Chatra |
Pondicherry,Pondicherry |
Sheopur,Sheopur |
Kendujhar,Kendujhar |
Shahpura,Shahpura |
Mundargi,Mundargi |
Chilakaluripet,Chilakaluripet |
Raver,Raver |
Jalandhar,Jalandhar |
Taliparamba,Taliparamba |
Kadiri,Kadiri |
Rath,Rath |
Palacole,Palacole |
Bhopal,Bhopal |
Narnaul,Narnaul |
Rajgarh,Rajgarh |
Pandua,Pandua |
Lumding,Lumding |
mumbai,mumbai |bombay |
Sardhana,Sardhana |
Solan,Solan |
Deoghar,Deoghar |
Shivpuri,Shivpuri |
Brahmapur,Brahmapur |
Rajgir,Rajgir |
Adilabad,Adilabad |
Pilkhuwa,Pilkhuwa |
Hisar,Hisar |
Pappinisseri,Pappinisseri |
Obra,Obra |
Valsad,Valsad |
Srinagar,Srinagar |
Kamareddy,Kamareddy |
Ratnagiri,Ratnagiri |
Ajmer,Ajmer |
Kagaznagar,Kagaznagar |
Bhatapara,Bhatapara |
Pollachi,Pollachi |
Mhow Cantonment,Mhow |Cantonment |
Kharagpur,Kharagpur |
Gwalior,Gwalior |
Mulbagal,Mulbagal |
Puranpur,Puranpur |
Madhya Pradesh,MP |
Shajapur,Shajapur |
Sira,Sira |
kochi,kochi |
Bheemunipatnam,Bheemunipatnam |
Jammu,Jammu |
Puliyankudi,Puliyankudi |
Jehanabad,Jehanabad |
Uchgaon,Uchgaon |
Firozpur,Firozpur |
Kasaragod,Kasaragod |
Sedam,Sedam |
Shahganj,Shahganj |
Samdhan,Samdhan |
Goalpara,Goalpara |
Mundi,Mundi |
Pulgaon,Pulgaon |
Thiruvarur,Thiruvarur |
Uran,Uran |
Davanagere,Davanagere |
Pudukkottai,Pudukkottai |
Ramdurg,Ramdurg |
Taki,Taki |
Utraula,Utraula |
Adyar,Adyar |
Mancherial,Mancherial |
Shoranur,Shoranur |
Malda,Malda |
North Lakhimpur,Lakhimpur |North Lakhimpur
Rajula,Rajula |
Visnagar,Visnagar |
Mavoor,Mavoor |
Mattannur,Mattannur |
Sironj,Sironj |
Phulera,Phulera |
Nagaon,Nagaon |
Ramanathapuram,Ramanathapuram |
Murliganj,Murliganj |
Shillong,Shillong |
Pen,Pen |
Barmer,Barmer |
Raikot,Raikot |
Makrana,Makrana |
Jalpaiguri,Jalpaiguri |
Rawatsar,Rawatsar |
Makhdumpur,Makhdumpur |
Dimapur,Dimapur |
Sujanpur,Sujanpur |
Rampur,Rampur |
Rajpipla,Rajpipla |
Waghala,Waghala |
Kendrapara,Kendrapara |
Gurgaon,Gurgaon |
Purulia,Purulia |
Ludhiana,Ludhiana |
Jodhpur,Jodhpur |
Satna,Satna |
Sindhagi,Sindhagi |
Khambhat,Khambhat |
Belonia,Belonia |
Adra,Adra |
Siana,Siana |
Nashik,Nashik |
Kunnamkulam,Kunnamkulam |
Palia Kalan,Palia |Kalan |
Sirohi,Sirohi |
udaipur,udaipur |rajasthan |
Sadulshahar,Sadulshahar |
Mangalvedhe,Mangalvedhe |
Seohara,Seohara |
Polur,Polur |
Kaithal,Kaithal |
Sawantwadi,Sawantwadi |
Bhiwandi,Bhiwandi |
Pratapgarh,Pratapgarh |
Sindagi,Sindagi |
Kalimpong,Kalimpong |
Vrindavan,Vrindavan |
Kapadvanj,Kapadvanj |
Bodhan,Bodhan |
Lonar,Lonar |
Nellore,Nellore |
Fatehabad,Fatehabad |
Mihijam,Mihijam |
Godhra,Godhra |
Hansi,Hansi |
Zirakpur,Zirakpur |
Morena,Morena |
Padmanabhapuram,Padmanabhapuram |
Usilampatti,Usilampatti |
Habra,Habra |
Shikohabad,Shikohabad |
Sandila,Sandila |
Kadapa,Kadapa |
Vijayapura,Vijayapura |
Tirunelveli,Tirunelveli |
Talwara,Talwara |
Sarni,Sarni |
Prithvipur,Prithvipur |
Rehli,Rehli |
Singrauli,Singrauli |
Thanjavur,Thanjavur |
Sausar,Sausar |
Tarn Taran,Tarn |Taran |
Thodupuzha,Thodupuzha |
Aizawl,Aizawl |
Saidpur,Saidpur |
Bhilai Nagar,Bhilai |Bhilai Nagar |
Jhansi,Jhansi |
Koyilandy,Koyilandy |
Kavali,Kavali |
Sattenapalle,Sattenapalle |
Samana,Samana |
Ramganj Mandi,Ramganj |Ramganj Mandi |
Udgir,Udgir |
Wai,Wai |
Siddipet,Siddipet |
Urmar Tanda,Urmar |Tanda |
Seoni Malwa,Seoni |Malwa |
Nangal,Nangal |
Tumsar,Tumsar |
Barbil,Barbil |
Parasi,Parasi |
Shamgarh,Shamgarh |
Bhilwara,Bhilwara |
Punalur,Punalur |
Repalle,Repalle |
Mandsaur,Mandsaur |
Porsa,Porsa |
Saiha,Saiha |
Tittakudi,Tittakudi |
Srikalahasti,Srikalahasti |
Varkala,Varkala |
Sherkot,Sherkot |
Silvassa,Silvassa |
Bhavnagar,Bhavnagar |
Arambagh,Arambagh |
Mariani,Mariani |
Suri,Suri |
Zunheboto,Zunheboto |
Sadabad,Sadabad |
Baleshwar Town,Baleshwar | |
bengaluru,bengaluru |bangalore |
Tirupati,Tirupati |
Warangal,Warangal |
Gobichettipalayam,Gobichettipalayam |
Yerraguntla,Yerraguntla |
Chikkamagaluru,Chikkamagaluru |
Sitarganj,Sitarganj |
Virudhunagar,Virudhunagar |
Tumkur,Tumkur |
Tikamgarh,Tikamgarh |
Nawada,Nawada |
chandigarh,chandigarh |
Sinnar,Sinnar |
Ballari,Ballari |
Begusarai,Begusarai |
Shujalpur,Shujalpur |
Vikramasingapuram,Vikramasingapuram |
Rajauri,Rajauri |
Dumka,Dumka |
Sailu,Sailu |
Thakurdwara,Thakurdwara |
Bhuj,Bhuj |
Sunam,Sunam |
Parvathipuram,Parvathipuram |
Sangaria,Sangaria |
Hapur,Hapur |
Udumalaipettai,Udumalaipettai |
Gobindgarh,Gobindgarh |
Osmanabad,Osmanabad |
Ramanagaram,Ramanagaram |
Silchar,Silchar |
Savarkundla,Savarkundla |
Wankaner,Wankaner |
Bargarh,Bargarh |
Fazilka,Fazilka |
Rajakhera,Rajakhera |
Chirmiri,Chirmiri |
Vaikom,Vaikom |
Samalkot,Samalkot |
Mehkar,Mehkar |
Phusro,Phusro |
Rajahmundry,Rajahmundry |
Manglaur,Manglaur |
Shahbad,Shahbad |
Neyveli,Neyveli |
Sagwara,Sagwara |
Margherita,Margherita |
Kadi,Kadi |
Sri Madhopur,Sri Madhopur |Madhopur |
Sankeshwara,Sankeshwara |
Kanhangad,Kanhangad |
Umarkhed,Umarkhed |
Ponnani,Ponnani |
Nohar,Nohar |
Rameshwaram,Rameshwaram |
Uthiramerur,Uthiramerur |
Terdal,Terdal |
Mandamarri,Mandamarri |
Tharangambadi,Tharangambadi |
Kottayam,Kottayam |
Prantij,Prantij |
Jagraon,Jagraon |
Nadbai,Nadbai |
Adalaj,Adalaj |
Panagudi,Panagudi |
Maharajganj,Maharajganj |
Araria,Araria |
Thrissur,Thrissur |
Yawal,Yawal |
Malout,Malout |
Dumraon,Dumraon |
Ramtek,Ramtek |
Sidlaghatta,Sidlaghatta |
Zira,Zira |
Rayagada,Rayagada |
Tenkasi,Tenkasi |
Bhabua,Bhabua |
Soro,Soro |
Lanka,Lanka |
Tenali,Tenali |
Mussoorie,Mussoorie |
Sahibganj,Sahibganj |
Multai,Multai |
Paravoor,Paravoor |
Paschim Punropara,Paschim Punropara |Punropara |
Chandigarh,Chandigarh |
Purquazi,Purquazi |
Gaya,Gaya |
Coal Dhanbad,Coal Dhanbad |Dhanbad |
Vijainagar Ajmer,Vijainagar |Ajmer |
Panna,Panna |
Udhampur,Udhampur |
Bilaspur,Bilaspur |
Renukoot,Renukoot |
Pinjore,Pinjore |
Palanpur,Palanpur |
Pardi,Pardi |
Talikota,Talikota |
Lunglei,Lunglei |
Pithampur,Pithampur |
Rishikesh,Rishikesh |
Mauganj,Mauganj |
Ranebennuru,Ranebennuru |
Mandawa,Mandawa |
Sikandra Rao,Sikandra |Sikandra Rao |
Vaniyambadi,Vaniyambadi |
Kolar,Kolar |
Amalner,Amalner |
Vaijapur,Vaijapur |
Vijaypur,Vijaypur |
Naila Janjgir,Naila |Janjgir |
Alirajpur,Alirajpur |
Mira Bhayandar,Mira |Bhayandar |
Rajagangapur,Rajagangapur |
Jaggaiahpet,Jaggaiahpet |
Orai,Orai |
Mandalgarh,Mandalgarh |
Roorkee,Roorkee |
Mangrol,Mangrol |
Arvi,Arvi |
Rahuri,Rahuri |
Ponnur,Ponnur |
Malaj Khand,Malaj Khand|Malajkhand |
Mysore,Mysore |
Thane,Thane |
Nedumangad,Nedumangad |
Pihani,Pihani |
Jabalpur,Jabalpur |
Sonepur,Sonepur |
Tiruppur,Tiruppur |
Manendragarh,Manendragarh |
Nandgaon,Nandgaon |
Patur,Patur |
Pakaur,Pakaur |
Suriyampalayam,Suriyampalayam |
Gudur,Gudur |
Theni Allinagaram,Theni |Allinagaram |
Tezpur,Tezpur |
Bageshwar,Bageshwar |
Peringathur,Peringathur |
Yanam,Yanam |
Ambejogai,Ambejogai |
Kailasahar,Kailasahar |
Lonavla,Lonavla |
Talaja,Talaja |
Yamunanagar,Yamunanagar |
Kharar,Kharar |
Unnao,Unnao |
Palasa Kasibugga,Palasa |Kasibugga |
Kalpi,Kalpi |
Tiruttani,Tiruttani |
Pachora,Pachora |
Dhubri,Dhubri |
Pilibanga,Pilibanga |
Sangole,Sangole |
Shanti Leh,Shanti |Leh |
Bhongir,Bhongir |
Sultanpur,Sultanpur |
Samastipur,Samastipur |
Panchla,Panchla |
Manachanallur,Manachanallur |
Umbergaon,Umbergaon |
Chirkunda,Chirkunda |
Mount Abu,Mount Abu |Abu |
Raghunathganj,Raghunathganj |
Murwara Katni,Murwara |Katni |
Mahuva,Mahuva |
Darbhanga,Darbhanga |
Nasirabad,Nasirabad |
Kodungallur,Kodungallur |
Surat,Surat |
Hoshiarpur,Hoshiarpur |
Pathankot,Pathankot |
Qadian,Qadian |
Tadepalligudem,Tadepalligudem |
Pudupattinam,Pudupattinam |
Narasaraopet,Narasaraopet |
Rudrapur,Rudrapur |
Koratla,Koratla |
Nizamabad,Nizamabad |
Monoharpur,Monoharpur |
Raisen,Raisen |
Shishgarh,Shishgarh |
Mathabhanga,Mathabhanga |
Raayachuru,Raayachuru |
Jharsuguda,Jharsuguda |
Rairangpur,Rairangpur |
Ramnagar,Ramnagar |
Sawai Madhopur,Sawai |Madhopur |
Mudhol,Mudhol |
Visakhapatnam,Visakhapatnam |
Umreth,Umreth |
Satana,Satana |
Rajpura,Rajpura |
Guruvayoor,Guruvayoor |
Agra,Agra |
Vadgaon Kasba,Vadgaon |Kasba |
Piro,Piro |
Pavagada,Pavagada |
Beed,Beed |
Muddebihal,Muddebihal |
Nalbari,Nalbari |
Pacode,Pacode |
Wara Seoni,Wara |Seoni |
Uthamapalayam,Uthamapalayam |
Adoni,Adoni |
Parangipettai,Parangipettai |
Phillaur,Phillaur |
Vadnagar,Vadnagar |
Viramgam,Viramgam |
Soron,Soron |
Kolkata,Kolkata |
Mavelikkara,Mavelikkara |
Mandi,Mandi |
Nagla,Nagla |
Narkatiaganj,Narkatiaganj |
Wadi,Wadi |
Coimbatore,Coimbatore |
